response_id,age_group,customer_stage,channel,cluster,cluster_group,complaint,severity,existing_insurance,consultation_needed
206,20대,상담,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,있음,아니오
207,30대,상품 비교,웹,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,있음,예
208,30대,상담,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,3,없음,예
209,30대,상담,전화,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,4,있음,아니오
210,30대,상담,모바일,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,3,있음,예
211,30대,정보 탐색,전화,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,4,있음,예
212,20대,가입 검토,전화,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,없음,아니오
213,20대,상품 비교,전화,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,4,없음,아니오
214,30대,상품 비교,웹,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,3,있음,아니오
215,40대,상담,전화,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,2,없음,아니오
216,30대,가입 검토,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,없음,예
217,50대 이상,정보 탐색,전화,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,3,있음,예
218,50대 이상,상품 비교,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,없음,아니오
219,50대 이상,가입 검토,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,없음,예
220,30대,상품 비교,웹,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,있음,예
221,20대,정보 탐색,오프라인,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,아니오
222,20대,가입 검토,웹,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,4,없음,아니오
223,20대,정보 탐색,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,있음,예
224,20대,가입 검토,웹,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,없음,아니오
225,20대,상품 비교,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,예
226,20대,상담,전화,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,3,없음,아니오
227,40대,상품 비교,전화,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,4,있음,아니오
228,30대,정보 탐색,오프라인,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,예
229,20대,가입 검토,웹,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,있음,아니오
230,40대,상담,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,있음,아니오
231,30대,상품 비교,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,있음,아니오
232,20대,정보 탐색,모바일,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,3,있음,아니오
233,30대,상품 비교,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,없음,예
234,40대,상담,웹,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,5,없음,아니오
235,20대,상담,오프라인,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,3,있음,아니오
236,20대,정보 탐색,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,3,있음,아니오
237,40대,정보 탐색,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,없음,예
238,20대,상담,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,3,없음,예
239,30대,상담,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,3,있음,아니오
240,40대,정보 탐색,웹,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,2,있음,아니오
241,20대,상품 비교,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,4,있음,아니오
242,20대,상품 비교,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,3,있음,아니오
243,40대,상담,모바일,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,5,있음,아니오
244,40대,상담,전화,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,없음,아니오
245,50대 이상,정보 탐색,모바일,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,5,있음,아니오
246,40대,가입 검토,오프라인,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,없음,예
247,30대,상품 비교,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,3,없음,예
248,30대,상담,모바일,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,3,없음,아니오
249,50대 이상,상담,모바일,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,4,있음,아니오
250,50대 이상,정보 탐색,웹,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,5,없음,예
251,40대,정보 탐색,오프라인,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,아니오
252,20대,정보 탐색,오프라인,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,3,있음,아니오
253,20대,상담,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,3,없음,아니오
254,40대,정보 탐색,웹,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,없음,예
255,40대,상담,전화,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,없음,아니오
256,20대,상품 비교,모바일,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,3,있음,아니오
257,40대,가입 검토,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,없음,아니오
258,40대,정보 탐색,웹,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,4,없음,아니오
259,50대 이상,가입 검토,웹,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,4,있음,예
260,20대,상품 비교,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,있음,아니오
261,40대,상품 비교,전화,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,5,없음,아니오
262,30대,정보 탐색,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,5,없음,예
263,40대,상담,모바일,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,5,있음,예
264,30대,정보 탐색,모바일,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,3,있음,예
265,40대,가입 검토,웹,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,4,없음,예
266,20대,가입 검토,웹,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,3,없음,아니오
267,30대,상품 비교,전화,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,5,있음,아니오
268,30대,상담,모바일,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,4,없음,아니오
269,50대 이상,상담,웹,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,3,없음,예
270,30대,상담,웹,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,있음,아니오
271,20대,정보 탐색,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,없음,예
272,20대,정보 탐색,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,없음,예
273,30대,상품 비교,웹,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,3,있음,예
274,40대,가입 검토,웹,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,아니오
275,50대 이상,상품 비교,모바일,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,없음,아니오
276,20대,가입 검토,오프라인,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,있음,아니오
277,20대,상품 비교,웹,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,없음,아니오
278,20대,상담,전화,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,있음,예
279,20대,가입 검토,웹,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,없음,예
280,30대,정보 탐색,전화,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,5,없음,아니오
281,50대 이상,가입 검토,오프라인,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,3,없음,예
282,40대,상품 비교,웹,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,3,있음,예
283,40대,상담,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,있음,아니오
284,50대 이상,상담,모바일,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,4,있음,예
285,30대,상품 비교,웹,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,4,있음,아니오
286,30대,상담,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,4,있음,아니오
287,30대,상담,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,예
288,30대,정보 탐색,웹,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,5,없음,예
289,40대,상품 비교,모바일,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,3,없음,아니오
290,30대,상담,웹,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,3,있음,예
291,40대,가입 검토,모바일,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,5,있음,예
292,20대,상품 비교,모바일,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,5,있음,아니오
293,30대,가입 검토,오프라인,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,없음,예
294,40대,정보 탐색,웹,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,3,없음,아니오
295,30대,정보 탐색,웹,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,3,없음,아니오
296,40대,가입 검토,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,없음,예
297,50대 이상,상담,모바일,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,5,있음,예
298,40대,정보 탐색,오프라인,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,3,있음,예
299,30대,상담,웹,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,4,있음,예
300,40대,정보 탐색,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,없음,아니오
301,20대,상담,오프라인,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,3,있음,아니오
302,30대,상담,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,5,있음,예
303,20대,상품 비교,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,3,없음,아니오
304,40대,상담,모바일,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,3,없음,아니오
305,40대,정보 탐색,모바일,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,4,있음,아니오
306,20대,정보 탐색,웹,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,없음,아니오
307,40대,상품 비교,웹,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,5,있음,예
308,20대,상담,모바일,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,4,있음,아니오
309,40대,가입 검토,모바일,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,5,있음,예
310,20대,정보 탐색,오프라인,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,있음,아니오
311,30대,상품 비교,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,5,없음,아니오
312,50대 이상,가입 검토,모바일,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,5,있음,예
313,20대,상담,모바일,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,3,없음,예
314,30대,상품 비교,모바일,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,4,없음,아니오
315,20대,가입 검토,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,3,있음,아니오
316,50대 이상,상담,웹,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,5,있음,예
317,30대,정보 탐색,모바일,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,있음,예
318,20대,상담,오프라인,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,4,없음,예
319,20대,상품 비교,모바일,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,없음,아니오
320,30대,가입 검토,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,없음,아니오
321,30대,상품 비교,웹,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,없음,아니오
322,30대,정보 탐색,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,3,없음,아니오
323,40대,상품 비교,오프라인,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,3,없음,예
324,30대,상담,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,5,없음,예
325,30대,정보 탐색,웹,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,4,있음,아니오
326,20대,가입 검토,웹,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,5,없음,예
327,20대,정보 탐색,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,5,있음,아니오
328,30대,가입 검토,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,없음,아니오
329,30대,상품 비교,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,3,없음,예
330,20대,상담,모바일,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,5,있음,아니오
331,40대,상품 비교,웹,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,4,없음,예
332,30대,정보 탐색,전화,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,4,없음,예
333,50대 이상,상담,모바일,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,3,있음,아니오
334,30대,상품 비교,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,3,있음,예
335,30대,상담,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,없음,아니오
336,40대,가입 검토,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,있음,예
337,20대,상품 비교,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,3,있음,아니오
338,20대,정보 탐색,전화,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,2,있음,아니오
339,20대,상품 비교,전화,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,5,있음,아니오
340,20대,가입 검토,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,없음,예
341,40대,정보 탐색,오프라인,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,2,없음,예
342,30대,상품 비교,전화,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,있음,예
343,20대,상담,모바일,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,5,없음,아니오
344,20대,가입 검토,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,예
345,30대,가입 검토,전화,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,4,없음,아니오
346,30대,가입 검토,전화,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,없음,아니오
347,50대 이상,정보 탐색,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,예
348,20대,상담,모바일,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,2,없음,아니오
349,50대 이상,가입 검토,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,4,없음,아니오
350,40대,정보 탐색,모바일,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,5,없음,아니오
351,40대,정보 탐색,모바일,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,3,없음,아니오
352,40대,정보 탐색,오프라인,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,5,없음,아니오
353,30대,정보 탐색,모바일,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,없음,아니오
354,40대,상품 비교,웹,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,2,없음,예
355,20대,가입 검토,웹,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,없음,아니오
356,30대,상품 비교,모바일,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,3,없음,아니오
357,30대,상품 비교,모바일,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,3,없음,아니오
358,40대,가입 검토,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,4,없음,아니오
359,20대,상품 비교,웹,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,3,있음,예
360,50대 이상,가입 검토,오프라인,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,4,있음,아니오
361,20대,상담,오프라인,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,3,없음,예
362,20대,정보 탐색,오프라인,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,있음,아니오
363,30대,상품 비교,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,3,없음,예
364,30대,정보 탐색,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,없음,예
365,50대 이상,정보 탐색,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,3,있음,예
366,40대,정보 탐색,모바일,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,5,있음,예
367,40대,가입 검토,웹,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,3,있음,아니오
368,20대,정보 탐색,웹,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,없음,아니오
369,20대,상품 비교,모바일,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,없음,예
370,20대,정보 탐색,모바일,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,4,있음,예
371,50대 이상,정보 탐색,웹,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,있음,예
372,30대,가입 검토,모바일,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,5,있음,예
373,50대 이상,상품 비교,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,3,있음,예
374,50대 이상,가입 검토,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,아니오
375,30대,가입 검토,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,4,있음,아니오
376,40대,상품 비교,모바일,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,2,없음,아니오
377,40대,정보 탐색,오프라인,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,5,있음,아니오
378,30대,상품 비교,모바일,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,3,있음,예
379,20대,상담,웹,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,없음,예
380,40대,상담,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,3,있음,예
381,20대,가입 검토,오프라인,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,있음,아니오
382,20대,상품 비교,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,3,없음,예
383,30대,상담,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,3,있음,아니오
384,40대,정보 탐색,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,4,없음,예
385,30대,정보 탐색,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,3,없음,아니오
386,50대 이상,정보 탐색,오프라인,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,없음,예
387,40대,상품 비교,모바일,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,3,없음,예
388,30대,정보 탐색,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,없음,예
389,40대,상품 비교,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,3,없음,아니오
390,50대 이상,상담,전화,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,없음,아니오
391,20대,상품 비교,전화,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,4,있음,예
392,30대,상품 비교,웹,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,있음,예
393,30대,상담,모바일,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,3,없음,아니오
394,30대,상담,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,4,있음,아니오
395,20대,상품 비교,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,3,있음,아니오
396,50대 이상,상품 비교,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,2,있음,예
397,50대 이상,상담,모바일,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,2,없음,아니오
398,40대,정보 탐색,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,없음,예
399,40대,상담,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,3,없음,예
400,30대,정보 탐색,웹,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,4,없음,예
401,20대,가입 검토,모바일,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,5,없음,예
402,50대 이상,정보 탐색,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,아니오
403,20대,상품 비교,웹,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,5,있음,아니오
404,50대 이상,가입 검토,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,3,있음,아니오
405,20대,상품 비교,웹,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,5,있음,예
406,20대,상품 비교,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,4,없음,아니오
407,20대,가입 검토,모바일,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,5,있음,아니오
408,20대,정보 탐색,모바일,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,5,없음,예
409,40대,상품 비교,전화,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,있음,아니오
